sekolah_id,siap_id,nama,npsn,is_negeri,is_sbi,k_kota,k_propinsi,kota,propinsi,kompetensi,enable,jml_pagu,jml_luar
22010167,20102512,SMP NEGERI 166,20102512,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,44,0
22010168,20103619,SMP NEGERI 167,20103619,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,38,0
22010169,20103618,SMP NEGERI 168,20103618,true,true,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,38,0
22010170,20101574,SMP NEGERI 169,20101574,true,true,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,39,0
22010171,20100767,SMP NEGERI 170,20100767,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,38,0
22010172,20103617,SMP NEGERI 171,20103617,true,true,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,57,0
22010173,20103616,SMP NEGERI 172,20103616,true,true,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,51,0
22010174,20100768,SMP NEGERI 173,20100768,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,51,0
22010175,20103615,SMP NEGERI 174,20103615,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,45,0
22010176,20102513,SMP NEGERI 175,20102513,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,44,0
22010177,20101573,SMP NEGERI 176,20101573,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,44,0
22010178,20102526,SMP NEGERI 177,20102526,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,57,0
22010179,20102525,SMP NEGERI 178,20102525,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,51,0
22010180,20103614,SMP NEGERI 179,20103614,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,58,0
22010181,20109257,SMP NEGERI 180,20109257,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,38,0
22010182,20100233,SMP NEGERI 181,20100233,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,38,0
22010183,20102524,SMP NEGERI 182,20102524,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,51,0
22010184,20100235,SMP NEGERI 183,20100235,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,32,0
22010185,20103612,SMP NEGERI 184,20103612,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,58,0
22010186,20102523,SMP NEGERI 185,20102523,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,32,0
22010187,20101572,SMP NEGERI 186,20101572,true,true,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,51,0
22010188,20101571,SMP NEGERI 187,20101571,true,true,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,39,0
22010189,20103611,SMP NEGERI 188,20103611,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,32,0
22010190,20101570,SMP NEGERI 189,20101570,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,45,0
22010191,20101569,SMP NEGERI 190,20101569,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,38,0
22010192,20101568,SMP NEGERI 191,20101568,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,51,0
22010193,20103610,SMP NEGERI 192,20103610,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,32,0
22010194,20103609,SMP NEGERI 193,20103609,true,true,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,50,0
22010195,20103608,SMP NEGERI 194,20103608,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,51,0
22010196,20103607,SMP NEGERI 195,20103607,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,45,0
22010197,20103606,SMP NEGERI 196,20103606,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,32,0
22010198,20101566,SMP NEGERI 197,20101566,true,true,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,32,0
22010199,20103605,SMP NEGERI 198,20103605,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,43,0
22010200,20103604,SMP NEGERI 199,20103604,true,true,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,45,0
22010201,20100769,SMP NEGERI 200,20100769,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,51,0
22010202,20101565,SMP NEGERI 201,20101565,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,51,0
22010203,20103621,SMP NEGERI 202,20103621,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,51,0
22010204,20103622,SMP NEGERI 203,20103622,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,45,0
22010205,20101549,SMP NEGERI 204,20101549,true,true,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,38,0
22010206,20101548,SMP NEGERI 205,20101548,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,51,0
22010207,20101533,SMP NEGERI 206,20101533,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,44,0
22010208,20101532,SMP NEGERI 207,20101532,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,45,0
